Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
85,GS170616C00085000,85.8,0,0,0,0.00%,0,0,0.00%
90,GS170616C00090000,159.07,157.95,160.2,0,0.00%,23,0,171.64%
100,GS170616C00100000,148.99,148.4,149.85,75.39,102.43%,7,2,155.98%
130,GS170616C00130000,119.08,117.95,120.25,13.59,12.88%,5,4,116.53%
135,GS170616C00135000,114.08,112.95,115.25,44.24,63.34%,10,12,110.91%
140,GS170616C00140000,109.05,107.95,110.1,44.57,69.12%,5,5,105.12%
145,GS170616C00145000,109,107.7,110,0,0.00%,75,75,121.27%
150,GS170616C00150000,99.15,97.95,100.1,-1.19,-1.19%,37,68,94.84%
155,GS170616C00155000,92.76,92.95,95.2,5.76,6.62%,6,36,90.16%
160,GS170616C00160000,83.59,79,82.8,0,0.00%,5,196,47.05%
165,GS170616C00165000,75.31,74.25,77.55,-2.19,-2.83%,8,79,40.50%
170,GS170616C00170000,79.12,78.05,80.35,6.92,9.58%,5,50,76.69%
175,GS170616C00175000,74.18,73.1,75.55,-2.57,-3.35%,5,528,72.71%
180,GS170616C00180000,6.97,6.25,6.95,0,0.00%,10,24,0.00%
185,GS170616C00185000,68.6,68.2,70.5,0,0.00%,2,151,80.49%
190,GS170616C00190000,59.06,58.5,60.65,-6.05,-9.29%,8,508,60.63%
195,GS170616C00195000,52.9,54.4,55.45,-0.85,-1.58%,5,248,57.54%
200,GS170616C00200000,43.93,42.8,43.9,-1.57,-3.45%,273,496,31.43%
205,GS170616C00205000,40.45,38.4,39.85,-5.12,-11.24%,2,"1,074",32.45%
210,GS170616C00210000,40.92,35.7,36.4,0,0.00%,1,687,34.48%
215,GS170616C00215000,33.5,31.3,33.1,-7.95,-19.18%,2,606,35.82%
220,GS170616C00220000,26.58,25.1,25.75,-1.36,-4.87%,1,776,25.27%
225,GS170616C00225000,22,21.15,21.8,-1.37,-5.86%,135,883,24.51%
230,GS170616C00230000,18.34,17.6,18.1,-0.36,-1.93%,1,"1,737",23.75%
235,GS170616C00235000,14.7,14.2,14.7,-1.34,-8.35%,32,"1,088",23.02%
240,GS170616C00240000,11.55,11.45,11.8,-1.45,-11.15%,70,848,22.66%
245,GS170616C00245000,9.23,8.65,9,-0.98,-9.60%,98,"2,064",21.74%
250,GS170616C00250000,6.8,6.6,6.95,-1.2,-15.00%,58,"2,738",21.61%
260,GS170616C00260000,3.6,3.5,3.65,-0.7,-16.28%,68,"1,222",20.72%
270,GS170616C00270000,1.81,1.65,1.84,-0.44,-19.56%,202,"1,584",20.54%
280,GS170616C00280000,1.04,0.79,0.93,-0.07,-6.31%,189,690,20.81%
290,GS170616C00290000,0.53,0.39,0.55,-0.07,-11.67%,9,811,21.90%
300,GS170616C00300000,0.29,0.24,0.28,-0.05,-14.71%,5,564,22.29%
310,GS170616C00310000,0.21,0.16,0.22,-0.06,-22.22%,2,67,24.15%
320,GS170616C00320000,0.03,0.08,0.23,-0.2,-86.96%,25,191,26.91%
330,GS170616C00330000,0.27,0.21,0.3,0,0.00%,4,75,30.52%
340,GS170616C00340000,0.21,0.04,0.28,0,0.00%,4,4,32.59%
350,GS170616C00350000,0.16,0.03,0.25,0,0.00%,4,5,34.33%
360,GS170616C00360000,0.15,0.05,0.2,0.04,36.36%,10,15,35.45%
