Strike,Contract Name,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
85,GS170616P00085000,0.04,0,0.05,0,0.00%,5,21,72.66%
90,GS170616P00090000,0.06,0.02,0.13,-0.41,-87.23%,1,118,76.95%
95,GS170616P00095000,0.06,0,0.07,-0.08,-57.14%,1,31,67.58%
100,GS170616P00100000,0.05,0.04,0.09,-0.07,-58.33%,10,254,67.97%
105,GS170616P00105000,0.06,0.01,0.1,0,0.00%,4,10,63.48%
110,GS170616P00110000,0.04,0,0.07,0,0.00%,3,55,57.42%
115,GS170616P00115000,0.03,0,0.07,0,0.00%,5,34,54.30%
120,GS170616P00120000,0.05,0,0,0,0.00%,1,0,25.00%
125,GS170616P00125000,0.05,0.01,0.09,0,0.00%,2,60,50.39%
130,GS170616P00130000,0.02,0,0.08,0,0.00%,4,84,50.20%
135,GS170616P00135000,0.08,0.01,0.1,0,0.00%,3,257,48.54%
140,GS170616P00140000,0.04,0.01,0.12,0,0.00%,1,368,46.78%
145,GS170616P00145000,0.06,0,0.15,0,0.00%,6,96,45.31%
150,GS170616P00150000,0.07,0.02,0.2,0,0.00%,1,266,44.29%
155,GS170616P00155000,0.15,0.06,0.2,0,0.00%,2,235,41.55%
160,GS170616P00160000,0.15,0.01,0.29,-0.05,-25.00%,4,"1,120",41.07%
165,GS170616P00165000,0.19,0.17,0.28,0.01,5.56%,8,296,38.18%
170,GS170616P00170000,0.24,0.16,0.24,0.05,26.32%,10,655,34.74%
175,GS170616P00175000,0.29,0.22,0.35,0,0.00%,7,321,34.23%
180,GS170616P00180000,0.33,0.3,0.44,0.04,13.79%,11,667,32.91%
185,GS170616P00185000,0.43,0.4,0.52,-0.07,-14.00%,15,472,31.28%
190,GS170616P00190000,0.58,0.54,0.65,-0.01,-1.69%,2,630,29.93%
195,GS170616P00195000,0.82,0.72,0.85,-0.09,-9.89%,5,663,28.91%
200,GS170616P00200000,1.05,0.96,1.07,0.08,8.25%,7,"4,687",27.63%
205,GS170616P00205000,1.34,1.28,1.4,0.02,1.52%,10,"1,357",26.62%
210,GS170616P00210000,1.71,1.74,1.88,-0.01,-0.58%,26,929,25.86%
215,GS170616P00215000,2.34,2.31,2.43,0.2,9.35%,27,"1,857",24.84%
220,GS170616P00220000,3.25,3.1,3.25,0.24,7.97%,49,"2,395",24.20%
225,GS170616P00225000,4.15,4.1,4.3,0.15,3.75%,12,996,23.57%
230,GS170616P00230000,5.45,5.4,5.85,0.2,3.81%,113,"1,011",23.50%
235,GS170616P00235000,7.05,7.05,7.35,0.3,4.44%,29,886,22.57%
240,GS170616P00240000,9.05,9.1,9.6,0.4,4.62%,97,"1,505",22.54%
245,GS170616P00245000,11,11.5,12.1,0.16,1.48%,14,680,22.25%
250,GS170616P00250000,14.5,14.3,14.85,1.05,7.81%,31,599,21.70%
260,GS170616P00260000,21.5,21.15,21.8,1.4,6.97%,13,329,21.49%
270,GS170616P00270000,29.5,28.1,30,5.65,23.69%,5,21,21.61%
280,GS170616P00280000,34.4,33.3,34.4,-5.7,-14.21%,7,1,0.00%
290,GS170616P00290000,53.25,53.6,55,0,0.00%,3,4,45.89%
